Date,Close/Last,Volume,Open,High,Low
08/09/2025,185.49,N/A,177.268,185.927,179.823
08/08/2025,177.088,N/A,174.714,178.892,176.692
08/07/2025,174.578,N/A,166.89,175.784,173.504
08/06/2025,167.05,N/A,161.875,168.946,166.748
08/05/2025,162.126,N/A,167.945,164.011,161.292
08/04/2025,168.297,N/A,163.002,169.944,167.61
08/03/2025,163.112,N/A,160.91,164.928,161.465
08/02/2025,161.017,N/A,164.314,161.061,156.386
08/01/2025,164.259,N/A,171.137,164.968,162.601
07/31/2025,171.117,N/A,180.265,172.148,167.768
07/30/2025,180.526,N/A,181.708,180.526,177.677
07/29/2025,181.768,N/A,184.35,182.319,178.90
07/28/2025,183.935,N/A,193.369,184.703,180.902
07/27/2025,193.736,N/A,187.208,193.736,187.693
07/26/2025,185.785,N/A,185.023,189.762,184.513
07/25/2025,186.113,N/A,177.825,186.884,184.513
07/24/2025,177.395,N/A,189.94,183.385,175.922
07/23/2025,190.458,N/A,201.385,191.873,188.551
07/22/2025,201.407,N/A,200.015,205.277,201.238
07/21/2025,199.083,N/A,186.735,204.536,194.121
07/20/2025,186.452,N/A,178.035,186.821,178.411
07/19/2025,178.156,N/A,177.487,179.738,176.399
07/18/2025,177.086,N/A,180.745,177.683,174.125
07/17/2025,180.415,N/A,169.609,181.105,175.344
07/16/2025,163.001,N/A,160.255,165.238,161.602
07/15/2025,162.532,N/A,159.139,165.238,161.602
07/14/2025,159.48,N/A,167.111,162.906,158.253
07/13/2025,167.172,N/A,161.205,168.091,160.668
07/12/2025,161.317,N/A,163.433,161.733,160.222
07/11/2025,162.80,N/A,164.307,168.184,159.692
07/10/2025,165.066,N/A,157.368,165.197,162.062
07/09/2025,157.348,N/A,151.30,159.196,155.977
07/08/2025,151.318,N/A,148.668,152.242,151.096
07/07/2025,148.876,N/A,151.884,150.052,147.873
07/06/2025,151.965,N/A,147.367,152.803,150.284
07/05/2025,147.311,N/A,147.754,147.647,146.90
07/04/2025,147.875,N/A,151.702,148.447,147.294
07/03/2025,151.67,N/A,153.414,153.117,150.996
07/02/2025,153.554,N/A,148.878,153.996,151.86
07/01/2025,149.044,N/A,153.928,149.222,145.96
06/30/2025,153.834,N/A,151.801,155.482,153.199
06/29/2025,151.761,N/A,149.474,154.054,151.464
06/28/2025,149.583,N/A,143.388,151.058,149.431
06/27/2025,143.451,N/A,141.38,143.531,141.174
06/26/2025,141.419,N/A,145.877,141.56,137.36
06/25/2025,145.809,N/A,145.551,147.821,143.474
06/24/2025,145.703,N/A,143.32,146.726,145.083
06/23/2025,143.297,N/A,132.64,144.689,142.349
06/22/2025,132.522,N/A,135.10,133.421,131.592
06/21/2025,134.652,N/A,140.778,137.508,133.426
06/20/2025,140.774,N/A,145.454,141.304,139.627
06/19/2025,145.48,N/A,146.598,147.488,145.465
06/18/2025,146.153,N/A,148.408,147.90,145.028
