Date,Close/Last,Volume,Open,High,Low
08/09/2025,3.258,N/A,3.2911,3.2629,3.2198
08/08/2025,3.2922,N/A,3.3739,3.3123,3.281
08/07/2025,3.3675,N/A,2.9686,3.373,3.2759
08/06/2025,2.9733,N/A,2.9143,3.0102,2.968
08/05/2025,2.9206,N/A,3.0387,2.9637,2.9101
08/04/2025,3.0412,N/A,2.9985,3.1066,3.035
08/03/2025,2.9997,N/A,2.8369,3.03,2.9338
08/02/2025,2.8395,N/A,2.982,2.8406,2.7295
08/01/2025,2.9761,N/A,2.9983,2.9841,2.9501
07/31/2025,3.0002,N/A,3.1384,3.0251,2.9313
07/30/2025,3.145,N/A,3.1381,3.145,3.0879
07/29/2025,3.145,N/A,3.1414,3.1498,3.0946
07/28/2025,3.1356,N/A,3.2691,3.1468,3.0826
07/27/2025,3.2712,N/A,3.1991,3.2921,3.2243
07/26/2025,3.1786,N/A,3.1396,3.2173,3.1094
07/25/2025,3.1453,N/A,3.0692,3.1616,3.1094
07/24/2025,3.068,N/A,3.1915,3.1603,3.0472
07/23/2025,3.2012,N/A,3.4918,3.2355,3.154
07/22/2025,3.4928,N/A,3.50,3.5514,3.4899
07/21/2025,3.4928,N/A,3.4791,3.5734,3.4665
07/20/2025,3.478,N/A,3.4353,3.4892,3.4092
07/19/2025,3.4374,N/A,3.4498,3.4511,3.3877
07/18/2025,3.4533,N/A,3.606,3.4778,3.4024
07/17/2025,3.616,N/A,3.0264,3.6556,3.4672
07/16/2025,2.9229,N/A,2.8749,2.9357,2.8799
07/15/2025,2.9033,N/A,2.8496,2.9357,2.8799
07/14/2025,2.8524,N/A,2.9257,2.9549,2.8067
07/13/2025,2.9267,N/A,2.7667,2.9442,2.8241
07/12/2025,2.7686,N/A,2.7982,2.7835,2.7249
07/11/2025,2.7359,N/A,2.5467,2.9691,2.5139
07/10/2025,2.5723,N/A,2.4206,2.5924,2.5139
07/09/2025,2.4205,N/A,2.3032,2.4367,2.3966
07/08/2025,2.3032,N/A,2.2633,2.3178,2.2979
07/07/2025,2.2641,N/A,2.2706,2.2725,2.2489
07/06/2025,2.2741,N/A,2.2166,2.2791,2.2577
07/05/2025,2.2149,N/A,2.2257,2.2218,2.2092
07/04/2025,2.2256,N/A,2.2486,2.2275,2.211
07/03/2025,2.2484,N/A,2.2427,2.2678,2.241
07/02/2025,2.2438,N/A,2.1864,2.2475,2.2257
07/01/2025,2.1856,N/A,2.2374,2.1861,2.1596
06/30/2025,2.2369,N/A,2.1974,2.2529,2.2243
06/29/2025,2.1984,N/A,2.1838,2.2108,2.1955
