Date,Open,High,Low,Close,Adj close,Change,Volume
2015-08-13,0.59,0.6,0.59,0.59,0.57,-0.84%,276885840
2015-08-14,0.59,0.59,0.58,0.59,0.57,0.09%,214650440
2015-08-17,0.59,0.59,0.58,0.58,0.57,-0.64%,273878920
2015-08-18,0.58,0.58,0.57,0.58,0.56,-1.33%,287082200
2015-08-19,0.58,0.58,0.57,0.57,0.56,-0.39%,249273680
2015-08-20,0.57,0.57,0.55,0.55,0.54,-3.61%,426933160
2015-08-21,0.55,0.56,0.54,0.54,0.52,-3.11%,382665560
2015-08-24,0.51,0.55,0.5,0.52,0.5,-3.54%,682282920
2015-08-25,0.54,0.54,0.51,0.51,0.49,-2.08%,622684400
2015-08-26,0.52,0.55,0.52,0.55,0.53,7.54%,614977560
2015-08-27,0.55,0.57,0.55,0.57,0.55,3.76%,463763320
2015-08-28,0.57,0.57,0.56,0.57,0.55,0.44%,320945280
2015-08-31,0.57,0.57,0.56,0.56,0.55,-1.10%,219352400
2015-09-01,0.55,0.56,0.54,0.54,0.52,-4.09%,353408800
2015-09-02,0.55,0.56,0.54,0.56,0.54,3.01%,344042600
2015-09-03,0.56,0.57,0.56,0.56,0.54,0.27%,262557520
2015-09-04,0.55,0.56,0.54,0.54,0.53,-2.33%,288009800
2015-09-08,0.56,0.57,0.55,0.57,0.55,4.28%,238448720
2015-09-09,0.57,0.57,0.55,0.56,0.54,-1.98%,289393960
2015-09-10,0.55,0.57,0.55,0.56,0.55,1.57%,357075840
2015-09-11,0.56,0.57,0.56,0.57,0.55,0.31%,301584320
2015-09-14,0.57,0.57,0.56,0.57,0.55,0.18%,192465440
2015-09-15,0.57,0.58,0.57,0.57,0.56,1.10%,327976480
2015-09-16,0.57,0.58,0.57,0.58,0.56,0.70%,173507360
2015-09-17,0.59,0.59,0.58,0.58,0.57,0.91%,268710760
2015-09-18,0.57,0.59,0.57,0.58,0.57,-0.09%,326410200
2015-09-21,0.58,0.59,0.58,0.59,0.57,1.03%,281864640
2015-09-22,0.58,0.58,0.57,0.57,0.56,-2.72%,228356920
2015-09-23,0.57,0.58,0.57,0.58,0.56,0.48%,161633960
2015-09-24,0.57,0.59,0.56,0.59,0.57,1.91%,382441240
2015-09-25,0.59,0.6,0.58,0.59,0.57,0.73%,369690720
2015-09-28,0.59,0.59,0.58,0.58,0.57,-1.31%,387923760
2015-09-29,0.59,0.59,0.58,0.59,0.58,1.76%,380734920
2015-09-30,0.6,0.62,0.59,0.62,0.6,3.92%,548519320
2015-10-01,0.62,0.62,0.59,0.6,0.59,-1.91%,489297080
2015-10-02,0.6,0.62,0.59,0.62,0.6,2.61%,386145560
2015-10-05,0.62,0.64,0.62,0.64,0.62,2.50%,482022840
2015-10-06,0.63,0.65,0.63,0.64,0.63,1.30%,454421040
2015-10-07,0.65,0.66,0.63,0.65,0.63,1.05%,310151960
2015-10-08,0.65,0.66,0.64,0.65,0.64,0.58%,460069640
2015-10-09,0.65,0.66,0.64,0.65,0.63,-0.38%,423248400
2015-10-12,0.65,0.66,0.65,0.66,0.64,1.07%,227589080
2015-10-13,0.65,0.66,0.65,0.66,0.64,0.19%,298442840
2015-10-14,0.66,0.69,0.66,0.68,0.67,3.64%,612190240
2015-10-15,0.69,0.7,0.68,0.69,0.67,0.26%,526046040
2015-10-16,0.69,0.7,0.69,0.7,0.68,1.57%,448395880
2015-10-19,0.7,0.7,0.69,0.7,0.68,-0.18%,294711200
2015-10-20,0.69,0.7,0.69,0.69,0.68,-0.14%,264824560
2015-10-21,0.7,0.7,0.68,0.69,0.67,-1.30%,386681960
2015-10-22,0.69,0.71,0.69,0.71,0.69,3.61%,306883640
2015-10-23,0.72,0.72,0.71,0.71,0.69,0.67%,381774280
2015-10-26,0.72,0.72,0.71,0.71,0.69,-0.45%,247437400
2015-10-27,0.71,0.72,0.71,0.71,0.69,-0.07%,208267120
2015-10-28,0.72,0.72,0.71,0.72,0.7,0.81%,217034080
2015-10-29,0.71,0.71,0.69,0.69,0.67,-3.45%,327167080
2015-10-30,0.7,0.71,0.69,0.71,0.69,2.49%,301158600
2015-11-02,0.71,0.72,0.71,0.72,0.7,1.16%,190087880
2015-11-03,0.71,0.72,0.7,0.71,0.69,-0.70%,376769200
2015-11-04,0.71,0.72,0.7,0.7,0.68,-1.65%,442262840
2015-11-05,0.7,0.71,0.69,0.69,0.67,-1.14%,478798960
2015-11-06,0.76,0.8,0.75,0.79,0.77,13.86%,1172271080
2015-11-09,0.78,0.79,0.77,0.79,0.76,-0.44%,492569000
2015-11-10,0.78,0.78,0.75,0.77,0.75,-1.91%,552259880
2015-11-11,0.77,0.78,0.76,0.76,0.74,-0.97%,620126280
2015-11-12,0.76,0.77,0.76,0.76,0.74,-0.36%,291080680
2015-11-13,0.76,0.76,0.74,0.75,0.72,-1.97%,292940040
2015-11-16,0.75,0.76,0.75,0.76,0.74,2.01%,344280320
2015-11-17,0.76,0.77,0.76,0.76,0.74,-,257046520
2015-11-18,0.76,0.78,0.75,0.78,0.76,2.07%,350214320
2015-11-19,0.78,0.79,0.77,0.78,0.76,0.29%,254072120
2015-11-20,0.78,0.79,0.78,0.78,0.77,0.87%,239743480
2015-11-23,0.79,0.79,0.77,0.77,0.75,-1.50%,242550040
2015-11-24,0.77,0.79,0.77,0.78,0.76,0.81%,195427680
2015-11-25,0.78,0.79,0.78,0.78,0.76,-0.13%,138299040
2015-11-27,0.78,0.79,0.78,0.78,0.77,0.84%,87008080
2015-11-30,0.79,0.8,0.78,0.79,0.77,1.05%,327243200
2015-12-01,0.8,0.82,0.8,0.82,0.8,3.25%,409497320
2015-12-02,0.82,0.83,0.81,0.81,0.79,-0.76%,294240160
2015-12-03,0.82,0.83,0.81,0.81,0.79,-0.22%,246656200
2015-12-04,0.81,0.85,0.81,0.84,0.82,4.07%,458756960
2015-12-07,0.84,0.84,0.83,0.83,0.81,-1.90%,333587160
2015-12-08,0.82,0.84,0.81,0.84,0.82,1.36%,314489320
2015-12-09,0.84,0.84,0.81,0.82,0.8,-2.53%,372674840
2015-12-10,0.82,0.83,0.82,0.82,0.8,0.83%,236596920
2015-12-11,0.82,0.82,0.81,0.81,0.79,-1.49%,227321520
2015-12-14,0.81,0.82,0.8,0.81,0.79,0.25%,276345800
2015-12-15,0.82,0.83,0.82,0.82,0.8,1.23%,307294160
2015-12-16,0.83,0.83,0.82,0.83,0.81,0.61%,236354960
2015-12-17,0.83,0.84,0.82,0.82,0.8,-1.51%,254161760
2015-12-18,0.81,0.82,0.8,0.8,0.78,-1.62%,395896960
2015-12-21,0.81,0.82,0.81,0.82,0.8,2.35%,284214920
2015-12-22,0.83,0.83,0.82,0.82,0.8,0.11%,130010760
2015-12-23,0.82,0.83,0.82,0.83,0.81,0.38%,122525560
2015-12-24,0.82,0.83,0.82,0.83,0.81,0.35%,52449240
2015-12-28,0.82,0.83,0.81,0.83,0.81,-0.09%,142028120
2015-12-29,0.83,0.84,0.83,0.84,0.82,1.63%,203660480
2015-12-30,0.84,0.85,0.83,0.83,0.81,-0.86%,180342800
2015-12-31,0.83,0.84,0.82,0.82,0.8,-1.29%,148528080
2016-01-04,0.81,0.81,0.8,0.81,0.79,-1.79%,358076280
2016-01-05,0.82,0.84,0.81,0.82,0.8,1.61%,490272560
2016-01-06,0.81,0.81,0.78,0.79,0.77,-4.13%,449344160
2016-01-07,0.77,0.77,0.75,0.76,0.74,-3.96%,645303000
2016-01-08,0.77,0.77,0.74,0.74,0.72,-2.15%,398471280
2016-01-11,0.74,0.75,0.73,0.74,0.72,0.17%,409403800
2016-01-12,0.76,0.77,0.75,0.75,0.74,1.68%,469355720
2016-01-13,0.76,0.77,0.73,0.73,0.71,-3.05%,481670480
2016-01-14,0.72,0.73,0.7,0.72,0.7,-2.02%,600234560
2016-01-15,0.69,0.7,0.67,0.68,0.66,-5.44%,841452120
2016-01-19,0.69,0.71,0.68,0.68,0.67,0.81%,457141480
2016-01-20,0.67,0.7,0.66,0.69,0.67,0.55%,481178280
2016-01-21,0.69,0.71,0.68,0.7,0.68,1.16%,481456880
2016-01-22,0.71,0.72,0.71,0.71,0.69,2.34%,258012480
2016-01-25,0.71,0.72,0.71,0.71,0.69,-0.11%,270728120
2016-01-26,0.71,0.72,0.7,0.72,0.7,0.99%,227967280
2016-01-27,0.72,0.72,0.7,0.71,0.69,-1.18%,231701120
2016-01-28,0.71,0.72,0.69,0.7,0.68,-1.09%,276778040
2016-01-29,0.71,0.73,0.7,0.73,0.71,4.42%,310504880
2016-02-01,0.73,0.74,0.73,0.73,0.71,0.03%,289883960
2016-02-02,0.73,0.73,0.7,0.7,0.68,-4.23%,341908400
2016-02-03,0.71,0.71,0.69,0.71,0.69,0.50%,326774040
2016-02-04,0.71,0.72,0.7,0.71,0.69,0.04%,348138000
2016-02-05,0.7,0.71,0.66,0.66,0.64,-6.31%,600427400
2016-02-08,0.65,0.65,0.62,0.63,0.62,-4.58%,608852800
2016-02-09,0.62,0.66,0.62,0.64,0.62,1.07%,425372560
2016-02-10,0.64,0.66,0.63,0.64,0.62,-0.24%,335799200
2016-02-11,0.62,0.64,0.62,0.63,0.62,-0.51%,340145400
2016-02-12,0.64,0.64,0.62,0.64,0.63,1.70%,340814680
2016-02-16,0.65,0.68,0.65,0.67,0.66,4.90%,485351800
2016-02-17,0.68,0.7,0.68,0.69,0.67,2.48%,771466640
2016-02-18,0.75,0.77,0.75,0.75,0.73,8.60%,1068659560
2016-02-19,0.75,0.77,0.74,0.76,0.74,1.33%,525629280
2016-02-22,0.77,0.8,0.77,0.79,0.77,3.55%,449667880
2016-02-23,0.78,0.8,0.78,0.79,0.77,0.25%,369378000
2016-02-24,0.79,0.8,0.77,0.8,0.78,0.70%,336853440
