Date,Open,High,Low,Close,Adj Close,Volume
11-Aug-25,227.92,229.56,224.76,227.18,227.18,"61,806,132"
08-Aug-25,220.83,231,219.25,229.35,229.09,"113,853,967"
07-Aug-25,218.88,220.85,216.58,220.03,219.78,"90,224,834"
06-Aug-25,205.63,215.38,205.59,213.25,213.01,"108,483,103"
05-Aug-25,203.4,205.34,202.16,202.92,202.69,"44,155,079"
04-Aug-25,204.51,207.88,201.68,203.35,203.12,"75,109,298"
01-Aug-25,210.87,213.58,201.5,202.38,202.15,"104,434,473"
31-Jul-25,208.49,209.84,207.16,207.57,207.33,"80,698,431"
30-Jul-25,211.9,212.39,207.72,209.05,208.81,"45,512,514"
29-Jul-25,214.18,214.81,210.82,211.27,211.03,"51,411,723"
28-Jul-25,214.03,214.85,213.06,214.05,213.81,"37,858,017"
25-Jul-25,214.7,215.24,213.4,213.88,213.64,"40,268,781"
24-Jul-25,213.9,215.69,213.53,213.76,213.52,"46,022,620"
23-Jul-25,215,215.15,212.41,214.15,213.91,"46,989,301"
22-Jul-25,213.14,214.95,212.23,214.4,214.16,"46,404,072"
21-Jul-25,212.1,215.78,211.63,212.48,212.24,"51,377,434"
18-Jul-25,210.87,211.79,209.71,211.18,210.94,"48,974,591"
17-Jul-25,210.57,211.8,209.59,210.02,209.78,"48,068,141"
16-Jul-25,210.3,212.4,208.64,210.16,209.92,"47,490,532"
15-Jul-25,209.22,211.89,208.92,209.11,208.87,"42,296,339"
14-Jul-25,209.93,210.91,207.54,208.62,208.38,"38,840,111"
11-Jul-25,210.57,212.13,209.86,211.16,210.92,"39,765,812"
10-Jul-25,210.51,213.48,210.03,212.41,212.17,"44,443,635"
09-Jul-25,209.53,211.33,207.22,211.14,210.9,"48,749,367"
08-Jul-25,210.1,211.43,208.45,210.01,209.77,"42,848,928"
07-Jul-25,212.68,216.23,208.8,209.95,209.71,"50,228,984"
03-Jul-25,212.15,214.65,211.81,213.55,213.31,"34,955,836"
02-Jul-25,208.91,213.34,208.14,212.44,212.2,"67,941,811"
01-Jul-25,206.67,210.19,206.14,207.82,207.58,"78,788,867"
30-Jun-25,202.01,207.39,199.26,205.17,204.94,"91,912,816"
27-Jun-25,201.89,203.22,200,201.08,200.85,"73,188,571"
26-Jun-25,201.43,202.64,199.46,201,200.77,"50,799,121"
25-Jun-25,201.45,203.67,200.62,201.56,201.33,"39,525,730"
24-Jun-25,202.59,203.44,200.2,200.3,200.07,"54,064,033"
23-Jun-25,201.63,202.3,198.96,201.5,201.27,"55,814,272"
20-Jun-25,198.24,201.7,196.86,201,200.77,"96,813,542"
18-Jun-25,195.94,197.57,195.07,196.58,196.36,"45,394,689"
17-Jun-25,197.2,198.39,195.21,195.64,195.42,"38,856,152"
16-Jun-25,197.3,198.69,196.56,198.42,198.19,"43,020,691"
13-Jun-25,199.73,200.37,195.7,196.45,196.23,"51,447,349"
12-Jun-25,199.08,199.68,197.36,199.2,198.97,"43,904,635"
11-Jun-25,203.5,204.5,198.41,198.78,198.55,"60,989,857"
10-Jun-25,200.6,204.35,200.57,202.67,202.44,"54,672,608"
09-Jun-25,204.39,206,200.02,201.45,201.22,"72,862,557"
06-Jun-25,203,205.7,202.05,203.92,203.69,"46,607,693"
05-Jun-25,203.5,204.75,200.15,200.63,200.4,"55,221,235"
04-Jun-25,202.91,206.24,202.1,202.82,202.59,"43,603,985"
