Date,Open,High,Low,Close,Adj Close,Change,Volume
11-Aug-25,182.05,183.84,180.25,182.06,182.06,-0.35%,"134,839,146"
8-Aug-25,181.55,183.3,180.4,182.7,182.7,1.07%,"123,396,679"
7-Aug-25,181.57,183.88,178.8,180.77,180.77,0.75%,"151,878,365"
6-Aug-25,176.33,179.9,176.25,179.42,179.42,0.65%,"137,192,265"
5-Aug-25,179.62,180.26,175.9,178.26,178.26,-0.97%,"156,407,621"
4-Aug-25,175.16,180.2,174.52,180,180,3.62%,"148,174,609"
1-Aug-25,174.09,176.54,170.89,173.72,173.72,-2.33%,"204,528,985"
31-Jul-25,182.9,183.3,175.93,177.87,177.87,-0.78%,"221,685,446"
30-Jul-25,176.51,179.89,176.04,179.27,179.27,2.14%,"174,312,208"
29-Jul-25,177.96,179.38,175.02,175.51,175.51,-0.70%,"154,077,512"
28-Jul-25,174.02,177,173.97,176.75,176.75,1.87%,"140,023,521"
25-Jul-25,173.61,174.72,172.96,173.5,173.5,-0.14%,"122,316,792"
24-Jul-25,172.44,173.83,171.3,173.74,173.74,1.73%,"128,984,628"
23-Jul-25,169.53,171.26,167.97,170.78,170.78,2.25%,"154,082,197"
22-Jul-25,171.34,171.39,164.58,167.03,167.03,-2.54%,"193,114,327"
21-Jul-25,172.75,173.38,171,171.38,171.38,-0.60%,"123,126,136"
18-Jul-25,173.64,174.25,171.26,172.41,172.41,-0.34%,"146,456,416"
17-Jul-25,172.02,174.16,170.83,173,173,0.95%,"160,841,119"
16-Jul-25,171.06,171.75,168.9,171.37,171.37,0.39%,"158,831,509"
15-Jul-25,171.19,172.4,169.2,170.7,170.7,4.04%,"230,627,350"
14-Jul-25,165.37,165.49,162.02,164.07,164.07,-0.52%,"136,975,754"
11-Jul-25,163.72,167.89,163.47,164.92,164.92,0.50%,"193,633,263"
10-Jul-25,164.32,164.5,161.61,164.1,164.1,0.75%,"167,704,075"
9-Jul-25,161.22,164.42,161.16,162.88,162.88,1.80%,"183,656,443"
8-Jul-25,159.33,160.22,158.39,160,160,1.11%,"138,133,025"
7-Jul-25,158.2,159.31,157.34,158.24,158.24,-0.69%,"140,138,975"
3-Jul-25,158.37,160.98,157.77,159.34,159.34,1.33%,"143,716,055"
2-Jul-25,152.98,157.6,152.97,157.25,157.25,2.58%,"171,224,111"
1-Jul-25,156.29,157.2,151.49,153.3,153.3,-2.97%,"213,143,621"
30-Jun-25,158.4,158.66,155.96,157.99,157.99,0.15%,"194,580,316"
27-Jun-25,156.04,158.71,155.26,157.75,157.75,1.76%,"263,234,539"
26-Jun-25,155.98,156.72,154,155.02,155.02,0.46%,"198,145,746"
25-Jun-25,149.27,154.45,149.26,154.31,154.31,4.33%,"269,146,471"
24-Jun-25,145.56,147.96,145.5,147.9,147.9,2.59%,"187,566,121"
23-Jun-25,142.5,144.78,142.03,144.17,144.17,0.22%,"154,308,941"
20-Jun-25,145.45,146.2,142.65,143.85,143.85,-1.12%,"242,956,157"
18-Jun-25,144.01,145.65,143.12,145.48,145.48,0.94%,"161,494,121"
17-Jun-25,144.49,145.22,143.78,144.12,144.12,-0.39%,"139,108,000"
16-Jun-25,143.35,146.18,143.2,144.69,144.69,1.92%,"183,133,666"
13-Jun-25,142.48,143.58,140.86,141.97,141.97,-2.09%,"180,820,565"
12-Jun-25,141.97,145,141.85,145,145,1.52%,"162,364,991"
11-Jun-25,144.61,144.99,141.87,142.83,142.83,-0.78%,"167,694,044"
10-Jun-25,142.69,144.29,141.53,143.96,143.95,0.93%,"155,881,897"
9-Jun-25,143.19,145,141.94,142.63,142.62,0.64%,"185,114,494"
6-Jun-25,142.51,143.27,141.51,141.72,141.71,1.24%,"153,986,153"
5-Jun-25,142.17,144,138.83,139.99,139.98,-1.36%,"232,410,759"
4-Jun-25,142.19,142.39,139.55,141.92,141.91,0.50%,"167,120,819"
3-Jun-25,138.78,142,137.95,141.22,141.21,2.80%,"225,578,783"
2-Jun-25,135.49,138.12,135.4,137.38,137.37,1.67%,"197,663,116"
30-May-25,138.72,139.62,132.92,135.13,135.12,-2.92%,"333,170,851"
29-May-25,142.25,143.49,137.91,139.19,139.18,3.25%,"370,615,167"
28-May-25,136.03,137.25,134.79,134.81,134.8,-0.51%,"304,021,146"
27-May-25,134.15,135.66,133.31,135.5,135.49,3.21%,"192,953,613"
23-May-25,130,132.68,129.16,131.29,131.28,-1.16%,"198,821,324"
22-May-25,132.23,134.25,131.55,132.83,132.82,0.78%,"187,343,954"
21-May-25,133.06,137.4,130.59,131.8,131.79,-1.92%,"270,608,738"
20-May-25,134.29,134.58,132.62,134.38,134.37,-0.88%,"161,514,247"
19-May-25,132.39,135.87,132.39,135.57,135.56,0.13%,"193,154,571"
16-May-25,136.22,136.35,133.46,135.4,135.39,0.42%,"226,542,451"
15-May-25,134.3,136.3,132.66,134.83,134.82,-0.38%,"226,632,563"
14-May-25,133.2,135.44,131.68,135.34,135.33,4.16%,"281,180,830"
13-May-25,124.98,131.22,124.47,129.93,129.92,5.63%,"330,430,105"
12-May-25,121.97,123,120.28,123,122.99,5.44%,"225,023,345"
