Date,Close/Last,Volume,Open,High,Low
08/08/2025,$769.30,7320755,$762.75,$769.90,$758.58
08/07/2025,$761.83,9019691,$773.49,$775.00,$759.55
08/06/2025,$771.99,9733910,$770.00,$773.64,$760.4601
08/05/2025,$763.46,11640290,$776.445,$783.1299,$763.00
08/04/2025,$776.37,15801730,$760.00,$776.85,$758.41
08/01/2025,$750.01,19028710,$760.73,$765.9999,$745.31
07/31/2025,$773.44,38831100,$775.20,$784.75,$765.51
07/30/2025,$695.21,27077290,$708.09,$708.50,$691.2001
07/29/2025,$700.00,13267030,$720.00,$724.47,$699.91
07/28/2025,$717.63,8715743,$715.20,$724.7352,$712.68
07/25/2025,$712.68,8271698,$716.915,$720.6499,$711.90
07/24/2025,$714.80,10920840,$717.05,$723.6239,$714.00
07/23/2025,$713.58,8771615,$706.365,$714.6285,$704.93
07/22/2025,$704.81,8921064,$716.19,$716.60,$701.41
07/21/2025,$712.965,9404391,$706.80,$717.00,$705.76
07/18/2025,$704.28,12779750,$702.19,$704.71,$691.65
07/17/2025,$701.41,11803260,$704.39,$705.90,$697.105
07/16/2025,$702.91,13067630,$713.37,$713.97,$699.2701
07/15/2025,$710.39,11529510,$723.90,$724.4716,$709.82
07/14/2025,$720.92,8939399,$717.60,$728.00,$716.547
07/11/2025,$717.51,10873880,$722.495,$725.16,$709.70
07/10/2025,$727.24,9922249,$731.55,$735.7999,$719.60
