Date,Close/Last,Volume,Open,High,Low
08/08/2025,$522.04,15531010,$522.60,$524.66,$519.41
08/07/2025,$520.84,16079140,$526.80,$528.09,$517.5511
08/06/2025,$524.94,21355700,$530.90,$531.70,$524.03
08/05/2025,$527.75,19171570,$537.18,$537.30,$527.24
08/04/2025,$535.64,25349000,$528.27,$538.25,$528.13
08/01/2025,$524.11,28977630,$535.00,$535.80,$520.86
07/31/2025,$533.50,51617330,$555.225,$555.45,$531.90
07/30/2025,$513.24,26380430,$515.17,$515.95,$509.435
07/29/2025,$512.57,16469240,$515.53,$517.62,$511.56
07/28/2025,$512.50,14308030,$514.08,$515.00,$510.12
07/25/2025,$513.71,19125700,$512.465,$518.29,$510.3592
07/24/2025,$510.88,16107000,$508.77,$513.67,$507.30
07/23/2025,$505.87,16396590,$506.75,$506.79,$500.70
07/22/2025,$505.27,13868640,$510.97,$511.20,$505.27
07/21/2025,$510.06,14066810,$506.705,$512.09,$505.55
07/18/2025,$510.05,21209670,$514.48,$514.64,$507.43
07/17/2025,$511.70,17503130,$505.68,$513.37,$505.62
07/16/2025,$505.62,15154370,$505.18,$506.72,$501.89
07/15/2025,$505.82,14927200,$503.02,$508.30,$502.79
07/14/2025,$503.02,12058850,$501.515,$503.97,$501.03
07/11/2025,$503.32,16459510,$498.47,$505.03,$497.795
07/10/2025,$501.48,16498740,$503.05,$504.44,$497.75
